Class_2,Class_1,Class_4,Class_3,Class_sum,Shape_Leng,ADM1_CODE,STATUS,ADM0_NAME,ADM0_CODE,EXP1_YEAR,Shape_Area,system:index,ADM1_NAME,STR1_YEAR,DISP_AREA
3043.33,656.35,10.15,1014.05,4723.879999999999,4.19898421789,65698,Member State,Nigeria,182,3000,0.385485043496,00000000000000000944,Abia,1997,NO
4943.25,3476.32,587.59,984.11,9991.27,8.485512574,65700,Member State,Nigeria,182,3000,0.81446427481,0000000000000000094a,Bayelsa,1997,NO
1778.24,126.13,34.61,4249.71,6188.69,4.03151148475,65701,Member State,Nigeria,182,3000,0.505730985479,0000000000000000094f,Ebonyi,1997,NO
4906.44,621.61,12.18,2162.2,7702.429999999999,4.11849127183,65703,Member State,Nigeria,182,3000,0.629750886128,00000000000000000952,Enugu,1997,NO
4469.8,1648.67,447.94,2160.21,8726.62,10.3115149264,65708,Member State,Nigeria,182,3000,0.711473790997,00000000000000000964,Rivers,1997,NO
4439.53,421.39,81.82,1668.32,6611.0599999999995,6.18626956745,2212,Member State,Nigeria,182,3000,0.539041851508,00000000000000000947,Akwa Ibom,1000,NO
1762.22,237.81,96.63,2493.47,4590.13,3.46566411313,2213,Member State,Nigeria,182,3000,0.37505982119,00000000000000000948,Anambra,1000,NO
8291.73,10304.72,346.12,2067.16,21009.729999999996,10.919583006,2217,Member State,Nigeria,182,3000,1.71571295908,0000000000000000094d,Cross River,1000,NO
9215.86,2663.74,546.27,4347.97,16773.84,11.5548417805,2218,Member State,Nigeria,182,3000,1.36940722516,0000000000000000094e,Delta,1000,NO
13686.65,2370.24,101.79,3430.42,19589.1,7.45560434109,2219,Member State,Nigeria,182,3000,1.60190025527,00000000000000000950,Edo,1000,NO
3742.85,505.9,33.83,1027.54,5310.12,2.71305102162,2222,Member State,Nigeria,182,3000,0.433385351311,00000000000000000954,Imo,1000,NO
